recipe_slug	score_bound
falafel	2.25935873642555
spamburger	2.388574096577065
bacon-fried-rice	2.866811989236802
chicken-fingers	2.3269102094060523
apple-crisp	1.8485154108456041
cranberry-apple-crisp	2.2603980096924556
bacon-chocolate-chip-cookies	2.7389367830212574
sujebi	2.3158794585380402
pasta-primavera	2.1941621830576277
ramen	2.4138758854947566
brownies	2.701609864466983
bacon-wrapped-scallops	2.727604934891713
bacon-egg-muffins	2.7571632771913963
breakfast-burritos	2.8096647999978552
bolognese-sauce	2.2556223729440426
croissants	2.5612918661796624
bacon-souffle	2.5304845966035616
souffle	2.67667668615737
chocolate-souffle	2.53396690861459
butter-croissants	2.243183828197085
pickled-green-beans	1.878909838352142
fried-oysters	2.306848641522717
peanut-butter-brownies	2.5885440372792807
almond-chip-cookies	2.6137593341518386
guacamole	2.7886784161646845
brioche-bread	2.5628911095441196
brioche-bread-with-chocolate	2.720631454601536
asparagus-quiche	1.9123055023313016
asparagus-burger	1.8875091708967904
ma-la-chicken	2.392502361806618
cold-noodles-with-tomatoes	2.3687916407018954
tamales	2.3951704032367678
enchiladas	2.327854352402094
tacos	2.3811845111840126
burritos	2.304555615382487
peanut-butter-cupcakes	2.7282129157131063
pickled-asparagus	1.854149760948464
chocolate-peanut-butter-cake	2.6896222646198304
udon	2.324507377907077
vegetable-lasagna	1.94741807710526
maple-bacon-donuts	2.764727322353343
maple-bacon-pancakes	2.720582807373223
spinach-and-ricotta-stuffed-shells	2.045932901982472
quesadillas	2.413277820318992
pico-de-gallo	2.2691059654735177
nachos	2.7189165172440446
cold-soba-noodles-with-tomato-and-cucumber	2.3177090626247216
fajitas	2.798202177292408
loaded-nachos	2.7333779830479297
lasagna	2.1918606346737763
chicken-nuggets	2.353109761839122
pain-au-chocolat	2.851247353528054
nacho-dip	2.6945850895676475
nacho-salad	2.805928979593181
nacho-casserole	2.669164443549543
nacho-fries	2.384165968127036
tempura-udon	2.675863001869762
peach-crisp	2.0665246026853072
apple-pie	1.9528444283610256
blueberry-crisp	1.7783340012693205
berry-crumble	1.6572297825759035
strawberry-rhubarb-crisp	2.360992529885045
peach-cobbler	2.2526138494700074
cranberry-sauce	2.2856267974390603
cherry-cobbler	2.1658925055611657
apple-crumble	1.9183248385433629
chocolate-croissants	2.598765670838521
french-toast	2.2927685003733607
chocolate-babka	2.8509887829768337
cinnamon-babka	2.509183602242445
blueberry-crumble	1.9395179873884494
spam-musubi	2.361991612752201
taco-salad	2.3622164795916154
chiles-rellenos	2.2778459615447213
almond-croissants	2.482545388382232
cranberry-relish	2.2856267974390603
ma-la-beef	2.3181850278520653
chocolate-cake	2.6376471293276795
spinach-quiche	2.205323499139317
mushroom-quiche	2.3398160148024116
quiche-lorraine	2.7724583201372623
croissant-aux-amandes	2.6001518640221093
danishes	2.3353100560425517
spinach-and-feta-quiche	2.2648900315390126
cold-sesame-noodles	2.281853218472713
soba-noodle-salad-with-peanut-dressing	2.69848203760766
dan-dan-noodles	2.368916678005133
vanilla-souffle	2.3326560260328737
bacon-wrapped-dates	2.717794809440056
cherry-pie	2.1677604911671393
berry-crisp	1.6841035880289412
bacon-and-egg-breakfast-sandwich	2.7628506473851724
bacon-wrapped-shrimp-skewers	2.808961462228411
bacon-wrapped-chicken	2.757408551803641
bacon-wrapped-asparagus	2.736558519636901
bacon-mac-and-cheese	2.801288763462957
chicken-alfredo-lasagna	2.267179255090925
classic-beef-lasagna	2.1908775076605416
vegetarian-mushroom-lasagna	2.0855592816866944
spinach-and-ricotta-lasagna	2.211349474689818
