recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.0
ma-la-chicken	7.192588778272628	0.5
quesadillas	7.186982017161788	0.5
ramen	7.144812089995593	0.5
spamburger	6.922489960640183	0.5
bacon-fried-rice	6.915901326518517	1.0
chocolate-babka	6.9459736129656005	1.0
pain-au-chocolat	6.973869261110147	1.0
nacho-fries	6.7939984293280435	0.5
cranberry-sauce	6.682335851880348	0.5
asparagus-quiche	6.6678420574810415	0.0
guacamole	6.497445129198877	1.0
strawberry-rhubarb-crisp	6.379040869899267	0.5
asparagus-burger	6.342503130297892	0.0
cold-noodles-with-tomatoes	6.275982177417896	0.5
bacon-wrapped-asparagus	6.252210217743045	1.0
apple-pie	6.214028467222571	0.0
tamales	6.175913520389128	0.5
dan-dan-noodles	6.169079752767014	0.5
bacon-wrapped-chicken	6.140276390557965	1.0
brioche-bread	6.159372187836133	0.75
mushroom-quiche	6.015854886750268	0.5
chicken-nuggets	5.937136254687642	0.5
taco-salad	5.914869664714741	0.5
bacon-mac-and-cheese	5.877452806377861	1.0
apple-crisp	5.846963123781772	0.0
croissants	5.817209378840165	0.75
bacon-wrapped-shrimp-skewers	5.776592894731766	1.0
tacos	5.749735899923937	0.5
spam-musubi	5.695640194337803	0.5
fajitas	5.673283742769404	1.0
breakfast-burritos	5.689872939006071	1.0
croissant-aux-amandes	5.646512538369372	0.75
quiche-lorraine	5.51354085097627	1.0
sujebi	5.469528527080618	0.5
chocolate-peanut-butter-cake	5.45472261444074	1.0
nacho-salad	5.429955901069284	1.0
nachos	5.350866271005051	1.0
danishes	5.2996218980762695	0.5
souffle	5.284040715578469	1.0
spinach-and-ricotta-lasagna	5.211615124356293	0.5
bacon-wrapped-scallops	5.189278363187565	1.0
enchiladas	5.178859262674194	0.5
brownies	5.168601257744461	1.0
soba-noodle-salad-with-peanut-dressing	5.1565213850687455	1.0
bacon-egg-muffins	5.145433919058473	1.0
vanilla-souffle	5.104461372504799	0.5
loaded-nachos	5.074960344701027	1.0
brioche-bread-with-chocolate	5.063019982698627	1.0
cherry-pie	5.025724006424018	0.5
bacon-and-egg-breakfast-sandwich	4.957442986076634	1.0
udon	4.932570617824558	0.5
ma-la-beef	4.910388273334949	0.5
maple-bacon-donuts	4.893141303737107	1.0
peanut-butter-cupcakes	4.867343249709948	1.0
burritos	4.855180138728008	0.5
chicken-fingers	4.848458000511406	0.5
pickled-green-beans	4.821621286679438	0.0
spinach-and-feta-quiche	4.81081319179944	0.5
bacon-wrapped-dates	4.775644816654022	1.0
cold-soba-noodles-with-tomato-and-cucumber	4.765829445167746	0.5
cranberry-apple-crisp	4.749117108648166	0.5
chiles-rellenos	4.669670814708201	0.5
almond-croissants	4.6459067727266286	0.75
bolognese-sauce	4.641617735817583	0.5
maple-bacon-pancakes	4.613466785523392	1.0
peach-crisp	4.607807778793018	0.5
cranberry-relish	4.584126899840866	0.5
falafel	4.568072850438348	0.5
bacon-chocolate-chip-cookies	4.560486955901061	1.0
tempura-udon	4.524900522638285	1.0
chicken-alfredo-lasagna	4.558589437419683	0.5
fried-oysters	4.531865009852166	0.5
cold-sesame-noodles	4.50518099876591	0.5
nacho-casserole	4.452314007038402	1.0
nacho-dip	4.355815462651196	1.0
pico-de-gallo	4.326958254917075	0.5
french-toast	4.292948824669342	0.5
peach-cobbler	4.25316574585283	0.5
almond-chip-cookies	4.223436394607905	1.0
spinach-quiche	4.202542205111506	0.5
pasta-primavera	4.085185193103409	0.5
pickled-asparagus	4.059524698039391	0.0
chocolate-cake	4.052654707411651	1.0
chocolate-croissants	3.968325309595463	1.0
classic-beef-lasagna	3.948197522196996	0.5
peanut-butter-brownies	3.8747775925887256	1.0
blueberry-crumble	3.84916513187693	0.5
lasagna	3.7474053849536366	0.5
berry-crisp	3.662378840632742	0.0
cherry-cobbler	3.607217665697803	0.5
chocolate-souffle	3.4934119077018635	1.0
cinnamon-babka	3.433440311229905	1.0
bacon-souffle	3.3819343881399107	1.0
vegetarian-mushroom-lasagna	3.295254230883003	0.5
blueberry-crisp	3.2405509366523413	0.0
spinach-and-ricotta-stuffed-shells	3.0991309357799177	0.5
butter-croissants	3.090573785020168	0.75
berry-crumble	2.616928292596393	0.0
vegetable-lasagna	2.6158296366086495	0.5
